epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.628327,1.27873,3.88836,1.25614,0.00333,1,0.00506,0.00204,1.09343,3.95574,1.20778,2e-05,2e-05,2e-05
2,0.893508,1.33016,3.77215,1.20006,0.0032,0.96,0.00493,0.00215,1.10746,3.93848,1.20415,5.9406e-05,5.9406e-05,5.9406e-05
3,1.17999,1.15448,3.8164,1.11748,0.00333,1,0.05894,0.01003,0.98926,3.75489,1.0462,9.802e-05,9.802e-05,9.802e-05
4,1.48965,1.22333,3.58929,1.15604,0.00333,1,0.03157,0.01174,0.88286,3.65037,0.98981,0.000135842,0.000135842,0.000135842
5,1.80224,1.10047,2.99792,1.08907,0.00333,1,0.19364,0.09667,0.79877,3.5813,0.93744,0.000172872,0.000172872,0.000172872
6,2.18107,0.9405,2.372,0.96376,0.00333,1,0.89419,0.64667,0.84056,3.36641,0.9086,0.00020911,0.00020911,0.00020911
7,2.48733,1.02902,2.06446,0.99698,0.00333,1,0.99346,0.69526,0.8908,3.22324,0.90166,0.000244556,0.000244556,0.000244556
8,2.79227,0.94347,1.77651,0.98882,0.00333,1,0.995,0.72909,0.87289,3.18711,0.89829,0.00027921,0.00027921,0.00027921
9,3.08326,0.85066,1.55742,0.9088,0.00333,1,0.99071,0.7025,0.88432,3.21589,0.90314,0.000313072,0.000313072,0.000313072
10,3.36696,1.00331,1.68915,0.96028,0.00333,1,0.98049,0.67832,0.93775,3.23126,0.91185,0.000346142,0.000346142,0.000346142
11,3.64723,0.89238,1.50316,0.95834,0.00333,1,0.96356,0.69208,0.89145,3.24437,0.90502,0.00037842,0.00037842,0.00037842
12,3.93348,1.00089,1.73041,1.06228,0.00333,1,0.95696,0.69975,0.81674,3.28131,0.89868,0.000409906,0.000409906,0.000409906
13,4.21355,0.89378,1.63979,0.95515,0.00333,1,0.9048,0.64292,0.78513,3.26973,0.89645,0.0004406,0.0004406,0.0004406
14,4.49406,0.86233,1.44613,0.97964,0.00333,1,0.68121,0.48931,0.78793,3.32262,0.89796,0.000470502,0.000470502,0.000470502
15,4.77748,0.86006,1.47914,0.94663,0.00333,1,0.14223,0.10236,0.76843,3.36436,0.90549,0.000499612,0.000499612,0.000499612
16,5.06452,0.82965,1.30352,0.97476,0.00333,1,0.00901,0.00585,0.7836,3.38351,0.90996,0.00052793,0.00052793,0.00052793
17,5.4042,0.89342,1.47881,1.01921,0.00333,1,0.04329,0.03314,0.76167,3.36682,0.90746,0.000555456,0.000555456,0.000555456
18,5.69571,0.84054,1.49628,0.98775,0.00333,1,0.0517,0.03993,0.76449,3.33249,0.90833,0.00058219,0.00058219,0.00058219
19,5.98267,0.95826,1.37236,1.06524,0.00333,1,0.11514,0.0717,0.74243,3.33207,0.90385,0.000608132,0.000608132,0.000608132
20,6.26939,0.86811,1.37095,1.06393,0.00333,1,0.13005,0.08918,0.74959,3.2983,0.90234,0.000633282,0.000633282,0.000633282
21,6.55724,0.82415,1.12535,0.96946,0.00333,1,0.25432,0.16697,0.71855,3.2642,0.89251,0.00065764,0.00065764,0.00065764
22,6.84736,0.72831,1.11877,0.91999,0.00333,1,0.41072,0.25274,0.67202,3.2554,0.88807,0.000681206,0.000681206,0.000681206
23,7.13624,0.82748,1.13722,0.89789,0.00333,1,0.43899,0.26155,0.69177,3.24209,0.89861,0.00070398,0.00070398,0.00070398
24,7.42149,0.7165,1.14581,0.92216,0.00333,1,0.45344,0.25262,0.6812,3.22267,0.90012,0.000725962,0.000725962,0.000725962
25,7.70881,0.79965,1.13511,0.95446,0.00333,1,0.48708,0.22691,0.66746,3.23528,0.89861,0.000747152,0.000747152,0.000747152
26,7.99512,0.75236,1.0755,0.93296,0.00527,1,0.45978,0.21399,0.66415,3.21681,0.89448,0.00076755,0.00076755,0.00076755
27,8.28654,0.74156,1.06748,0.94823,0.55272,0.44,0.51178,0.2478,0.65913,3.08429,0.89064,0.000787156,0.000787156,0.000787156
28,8.61731,0.76766,1.08645,0.93915,0.55272,0.44,0.51178,0.2478,0.65913,3.08429,0.89064,0.00080597,0.00080597,0.00080597
29,8.90476,0.82573,1.22134,0.9412,0.80511,0.33124,0.51374,0.26878,0.69428,2.98883,0.90354,0.000823992,0.000823992,0.000823992
30,9.193,0.8109,1.14773,0.95533,1,0.27748,0.49666,0.2387,0.69616,3.07945,0.90769,0.000841222,0.000841222,0.000841222
31,9.47315,0.82175,1.2113,0.94588,1,0.27748,0.49666,0.2387,0.69616,3.07945,0.90769,0.00085766,0.00085766,0.00085766
32,9.76086,0.86313,1.19185,1.0335,0.54677,0.24,0.44801,0.21996,0.75739,3.07401,0.93004,0.000873306,0.000873306,0.000873306
33,10.0509,0.70082,1.07661,0.92127,0.61465,0.24,0.47919,0.28841,0.75641,2.84915,0.91939,0.00088816,0.00088816,0.00088816
34,10.3344,0.84457,1.18669,0.94742,0.61465,0.24,0.47919,0.28841,0.75641,2.84915,0.91939,0.000902222,0.000902222,0.000902222
35,10.6283,0.84175,1.18289,0.93282,1,0.33413,0.78671,0.63509,0.74111,2.81926,0.92263,0.000915492,0.000915492,0.000915492
36,10.9165,0.77736,1.068,0.91603,1,0.32468,0.88518,0.71689,0.72066,2.85606,0.91563,0.00092797,0.00092797,0.00092797
37,11.2009,0.80015,1.18772,0.95936,1,0.32468,0.88518,0.71689,0.72066,2.85606,0.91563,0.000939656,0.000939656,0.000939656
38,11.489,0.72295,1.09515,0.9557,1,0.40661,0.8821,0.73877,0.65944,2.67585,0.90301,0.00095055,0.00095055,0.00095055
39,11.7946,0.75292,1.0567,0.94171,1,0.67111,0.95528,0.80471,0.66139,2.44826,0.90532,0.000960652,0.000960652,0.000960652
40,12.1482,0.71656,1.10887,0.90999,1,0.67111,0.95528,0.80471,0.66139,2.44826,0.90532,0.000969962,0.000969962,0.000969962
41,12.4416,0.71149,1.08716,0.90907,0.92436,0.72,0.94491,0.77483,0.74256,2.28842,0.94796,0.00097848,0.00097848,0.00097848
42,12.7241,0.60788,0.94853,0.85852,1,0.92989,0.995,0.82907,0.6839,2.09664,0.92,0.000986206,0.000986206,0.000986206
43,13.013,0.77437,1.08591,0.97296,1,0.92989,0.995,0.82907,0.6839,2.09664,0.92,0.00099314,0.00099314,0.00099314
44,13.3045,0.68703,1.03652,0.88852,1,0.95509,0.995,0.85485,0.54278,2.09531,0.85378,0.000999282,0.000999282,0.000999282
45,13.5894,0.69549,1.01904,0.89609,1,0.95509,0.995,0.85485,0.54278,2.09531,0.85378,0.00100463,0.00100463,0.00100463
46,13.891,0.73368,1.02945,0.95157,0.9921,1,0.995,0.86266,0.52862,1.78199,0.84583,0.00100919,0.00100919,0.00100919
47,14.1771,0.72366,0.96519,0.87765,0.9921,1,0.995,0.86266,0.52862,1.78199,0.84583,0.00101296,0.00101296,0.00101296
48,14.4702,0.69482,1.0236,0.92811,0.99374,1,0.995,0.85367,0.56792,1.5654,0.86113,0.00101593,0.00101593,0.00101593
49,14.7499,0.71777,0.95716,0.90546,0.99374,1,0.995,0.85367,0.56792,1.5654,0.86113,0.00101811,0.00101811,0.00101811
50,15.031,0.62527,0.91227,0.88206,0.99546,1,0.995,0.8352,0.6241,1.37202,0.88926,0.0010195,0.0010195,0.0010195
51,15.3181,0.77543,0.97696,0.88307,0.99546,1,0.995,0.8352,0.6241,1.37202,0.88926,0.00101,0.00101,0.00101
52,15.6565,0.73223,0.88054,0.88701,0.99443,1,0.995,0.83829,0.65438,1.33639,0.88874,0.0009902,0.0009902,0.0009902
53,15.942,0.57927,0.85806,0.85481,0.99443,1,0.995,0.83829,0.65438,1.33639,0.88874,0.0009704,0.0009704,0.0009704
